Name,Author,Rating,Reviews,Type,Price(USD),Year
"Relationship Goals: How to Win at Dating, Marriage, and Sex",Michael Todd,4.8,14233,Hardcover,11,2020
The Happy in a Hurry Cookbook: 100-Plus Fast and Easy New Recipes That Taste Like Home (The Happy Cookbook Series),Steve Doocy,4.7,8914,Hardcover,19.85,2020
"Learn to Read: A Magical Sight Words and Phonics Activity Workbook for Beginning Readers Ages 5-7: Reading Made Easy | Preschool, Kindergarten and 1st Grade",Modern Kid Press,4.7,9768,Paperback,2.15,2020
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,16777,Board book,1.25,2020
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,25004,Hardcover,24.99,2020
Where the Crawdads Sing,Delia Owens,4.8,129991,Hardcover,3.5,2019
Becoming,Michelle Obama,4.8,87695,Hardcover,4.59,2019
Educated: A Memoir,Tara Westover,4.7,40752,Hardcover,19.6,2019
Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,4.9,13631,Hardcover,1.59,2019
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,24450,Hardcover,1.47,2019
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,4.9,18076,Hardcover,1.99,2019
Wrecking Ball (Diary of a Wimpy Kid Book 14),Jeff Kinney,4.9,12971,Hardcover,3.93,2019
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,12417,Hardcover,1.84,2019
"School Zone - Big Preschool Workbook - Ages 3 to 5, Colors, Shapes, Numbers 1-10, Early Math, Alphabet, Pre-Writing, Phonics, Following Directions, and More (School Zone Big Workbook Series)",School Zone,4.8,40362,Paperback,1.83,2019
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,4.8,66271,Paperback,1.5,2019
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,4.6,10442,Hardcover,1.76,2019
The Wonky Donkey,Craig Smith,4.8,45329,Paperback,2.75,2019
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6,38397,Hardcover,5.88,2019
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,4.6,14001,Paperback,13.7,2019
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,4.8,11459,Hardcover,14.91,2019
The Very Hungry Caterpillar,Eric Carle,4.9,31511,Board book,0.94,2019
What Should Danny Do? (The Power to Choose Series),Adir Levy,4.8,12700,Hardcover,4.31,2019
It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,4.8,11232,Hardcover,16.51,2019
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,4.8,16651,Paperback,1.64,2019
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,4.7,38489,Paperback,1.11,2019
Unfreedom of the Press,Mark R. Levin,4.9,7509,Hardcover,11.16,2019
